Inventory Level,Price,Discount,day,month,weekday,lag_1,lag_7,rolling_mean_7,rolling_mean_14,Units Sold
428,88.85,20,30,1,6,142.0,241.0,127.71428571428571,126.64285714285714,94
111,47.02,10,30,1,6,94.0,250.0,104.28571428571429,125.85714285714286,86
410,70.78,0,31,1,0,86.0,64.0,123.71428571428571,139.07142857142858,200
157,63.98,5,31,1,0,200.0,40.0,139.85714285714286,130.5,153
311,46.79,10,31,1,0,153.0,130.0,122.71428571428571,128.21428571428572,10
66,64.53,15,31,1,0,10.0,174.0,104.85714285714286,120.0,49
472,51.8,5,31,1,0,49.0,142.0,126.0,137.35714285714286,290
419,34.49,0,1,2,1,290.0,94.0,152.42857142857142,140.07142857142858,279
109,66.34,15,1,2,1,279.0,86.0,154.28571428571428,129.28571428571428,99
482,16.94,10,1,2,1,99.0,200.0,186.85714285714286,155.28571428571428,428
333,42.61,5,1,2,1,428.0,153.0,189.28571428571428,164.57142857142858,170
160,20.47,20,1,2,1,170.0,10.0,207.71428571428572,165.21428571428572,139
415,52.49,5,2,2,2,139.0,49.0,206.14285714285714,155.5,38
92,23.87,20,2,2,2,38.0,290.0,176.71428571428572,151.35714285714286,84
154,73.28,15,2,2,2,84.0,279.0,148.42857142857142,150.42857142857142,81
326,12.49,20,2,2,2,81.0,99.0,180.14285714285714,167.21428571428572,321
57,15.5,20,2,2,2,321.0,428.0,126.0,156.42857142857142,49
345,27.71,20,3,2,3,49.0,170.0,111.85714285714286,150.57142857142858,71
128,70.8,10,3,2,3,71.0,139.0,93.85714285714286,150.78571428571428,13
433,95.64,15,3,2,3,13.0,38.0,112.28571428571429,159.21428571428572,167
58,97.63,20,3,2,3,167.0,84.0,102.28571428571429,139.5,14
203,73.01,10,3,2,3,14.0,81.0,118.57142857142857,133.5,195
121,16.84,15,4,2,4,195.0,321.0,76.28571428571429,128.21428571428572,25
183,18.54,0,4,2,4,25.0,49.0,84.85714285714286,105.42857142857143,109
227,96.69,20,4,2,4,109.0,71.0,83.28571428571429,97.57142857142857,60
387,81.45,15,4,2,4,60.0,13.0,130.14285714285714,112.0,341
191,16.35,0,4,2,4,341.0,167.0,131.0,121.64285714285714,173
458,51.44,15,5,2,5,173.0,14.0,179.0,140.64285714285714,350
215,59.5,0,5,2,5,350.0,195.0,167.0,142.78571428571428,111
140,88.16,5,5,2,5,111.0,25.0,180.28571428571428,128.28571428571428,118
53,40.6,15,5,2,5,118.0,109.0,166.28571428571428,125.57142857142857,11
63,46.96,0,5,2,5,11.0,60.0,159.14285714285714,121.21428571428571,10
167,68.85,5,6,2,6,10.0,341.0,120.28571428571429,125.21428571428571,69
396,87.64,0,6,2,6,69.0,173.0,107.71428571428571,119.35714285714286,85
323,70.75,5,6,2,6,85.0,350.0,103.42857142857143,141.21428571428572,320
303,41.13,15,6,2,6,320.0,111.0,127.85714285714286,147.42857142857142,282
352,68.61,10,6,2,6,282.0,118.0,159.42857142857142,169.85714285714286,339
244,11.34,5,7,2,0,339.0,11.0,166.71428571428572,166.5,62
409,27.27,10,7,2,0,62.0,10.0,220.71428571428572,189.92857142857142,388
410,42.14,20,7,2,0,388.0,69.0,248.85714285714286,184.57142857142858,266
302,69.81,20,7,2,0,266.0,85.0,245.0,176.35714285714286,58
92,88.84,10,7,2,0,58.0,320.0,200.57142857142858,152.0,9
140,67.64,10,8,2,1,9.0,282.0,162.0,144.92857142857142,12
470,18.08,10,8,2,1,12.0,339.0,145.0,152.21428571428572,220
116,85.69,0,8,2,1,220.0,62.0,147.71428571428572,157.21428571428572,81
344,61.85,15,8,2,1,81.0,388.0,97.57142857142857,159.14285714285714,37
114,26.26,20,8,2,1,37.0,266.0,75.14285714285714,162.0,109
209,90.55,0,9,2,2,109.0,58.0,69.14285714285714,157.07142857142858,16
413,52.98,10,9,2,2,16.0,9.0,120.14285714285714,160.35714285714286,366
197,10.35,15,9,2,2,366.0,12.0,126.71428571428571,144.35714285714286,58
189,21.77,5,9,2,2,58.0,220.0,107.14285714285714,126.07142857142857,83
276,21.09,10,9,2,2,83.0,81.0,117.0,132.35714285714286,150
311,89.58,5,10,2,3,150.0,37.0,145.57142857142858,121.57142857142857,237
479,31.19,20,10,2,3,237.0,109.0,178.71428571428572,126.92857142857143,341
151,92.7,0,10,2,3,341.0,16.0,192.28571428571428,130.71428571428572,111
495,40.46,10,10,2,3,111.0,366.0,178.0,149.07142857142858,266
266,58.43,20,10,2,3,266.0,58.0,188.71428571428572,157.71428571428572,133
216,19.93,0,11,2,4,133.0,83.0,205.85714285714286,156.5,203
73,21.02,5,11,2,4,203.0,150.0,193.42857142857142,155.21428571428572,63
315,80.57,5,11,2,4,63.0,237.0,160.71428571428572,153.14285714285714,8
324,20.92,15,11,2,4,8.0,341.0,145.57142857142858,162.14285714285714,235
62,47.48,15,11,2,4,235.0,111.0,131.57142857142858,161.92857142857142,13
358,64.4,15,12,2,5,13.0,266.0,97.71428571428571,137.85714285714286,29
289,84.12,5,12,2,5,29.0,133.0,82.57142857142857,135.64285714285714,27
122,85.8,0,12,2,5,27.0,203.0,56.42857142857143,131.14285714285714,20
452,76.97,15,12,2,5,20.0,63.0,73.0,133.21428571428572,179
275,32.75,10,12,2,5,179.0,8.0,85.0,122.85714285714286,92
229,85.19,10,13,2,6,92.0,235.0,72.71428571428571,109.14285714285714,149
150,38.46,5,13,2,6,149.0,13.0,72.85714285714286,102.21428571428571,14
70,63.4,15,13,2,6,14.0,29.0,74.71428571428571,86.21428571428571,42
452,40.0,15,13,2,6,42.0,27.0,79.42857142857143,81.0,60
99,10.42,10,13,2,6,60.0,20.0,77.28571428571429,66.85714285714286,5
429,97.41,10,14,2,0,5.0,179.0,88.71428571428571,80.85714285714286,259
209,39.81,10,14,2,0,259.0,92.0,87.28571428571429,86.14285714285714,82
219,37.75,10,14,2,0,82.0,149.0,66.71428571428571,69.71428571428571,5
472,88.4,15,14,2,0,5.0,14.0,100.57142857142857,86.71428571428571,251
135,62.65,10,14,2,0,251.0,42.0,109.42857142857143,92.07142857142857,104
126,51.27,5,15,2,1,104.0,60.0,116.71428571428571,98.07142857142857,111
193,64.25,0,15,2,1,111.0,5.0,118.28571428571429,97.78571428571429,16
254,49.29,15,15,2,1,16.0,259.0,107.57142857142857,98.14285714285714,184
252,84.17,10,15,2,1,184.0,82.0,128.85714285714286,108.07142857142857,231
264,92.45,10,15,2,1,231.0,5.0,144.28571428571428,105.5,113
373,65.22,10,16,2,2,113.0,251.0,161.71428571428572,131.14285714285714,373
410,91.59,0,16,2,2,373.0,104.0,192.42857142857142,150.92857142857142,319
435,49.07,10,16,2,2,319.0,111.0,213.14285714285714,164.92857142857142,256
347,27.95,15,16,2,2,256.0,16.0,255.28571428571428,186.78571428571428,311
99,69.91,0,16,2,2,311.0,184.0,237.28571428571428,172.42857142857142,58
82,49.34,5,17,2,3,58.0,231.0,208.71428571428572,168.78571428571428,31
188,75.54,0,17,2,3,31.0,113.0,196.42857142857142,170.35714285714286,27
292,73.94,5,17,2,3,27.0,373.0,155.14285714285714,158.42857142857142,84
184,75.96,10,17,2,3,84.0,319.0,126.0,159.21428571428572,115
120,46.19,0,17,2,3,115.0,256.0,91.0,152.07142857142858,11
115,20.21,15,18,2,4,11.0,311.0,50.42857142857143,152.85714285714286,27
126,21.54,0,18,2,4,27.0,58.0,48.0,142.64285714285714,41
470,69.96,20,18,2,4,41.0,31.0,101.85714285714286,155.28571428571428,408
129,10.84,15,18,2,4,408.0,27.0,101.14285714285714,148.78571428571428,22
307,22.31,0,18,2,4,22.0,84.0,132.0,143.57142857142858,300
207,75.6,0,19,2,5,300.0,115.0,119.42857142857143,122.71428571428571,27
397,53.04,0,19,2,5,27.0,11.0,132.28571428571428,111.64285714285714,101
285,45.77,20,19,2,5,101.0,27.0,165.0,107.71428571428571,256
347,91.83,15,19,2,5,256.0,41.0,207.28571428571428,127.64285714285714,337
119,83.86,0,19,2,5,337.0,408.0,151.42857142857142,126.64285714285714,17
284,73.76,10,20,2,6,17.0,22.0,172.0,136.57142857142858,166
166,94.4,5,20,2,6,166.0,300.0,134.57142857142858,133.28571428571428,38
127,13.4,20,20,2,6,38.0,27.0,132.57142857142858,126.0,13
159,72.74,20,20,2,6,13.0,101.0,132.71428571428572,132.5,102
154,82.82,15,20,2,6,102.0,256.0,96.28571428571429,130.64285714285714,1
337,96.55,10,21,2,0,1.0,337.0,96.28571428571429,151.78571428571428,337
240,25.74,10,21,2,0,337.0,17.0,106.14285714285714,128.78571428571428,86
191,43.5,5,21,2,0,86.0,166.0,106.71428571428571,139.35714285714286,170
266,81.26,10,21,2,0,170.0,38.0,137.85714285714286,136.21428571428572,256
181,50.99,5,21,2,0,256.0,13.0,136.0,134.28571428571428,0
467,12.81,15,22,2,1,0.0,102.0,148.71428571428572,140.71428571428572,191
140,41.87,20,22,2,1,191.0,1.0,166.57142857142858,131.42857142857142,126
256,87.81,20,22,2,1,126.0,337.0,130.28571428571428,113.28571428571429,83
448,49.39,15,22,2,1,83.0,86.0,138.42857142857142,122.28571428571429,143
131,18.15,5,22,2,1,143.0,170.0,126.0,116.35714285714286,83
152,27.67,15,23,2,2,83.0,256.0,107.85714285714286,122.85714285714286,129
379,66.76,5,23,2,2,129.0,0.0,120.28571428571429,128.14285714285714,87
256,48.5,15,23,2,2,87.0,191.0,117.42857142857143,133.07142857142858,171
54,17.6,10,23,2,2,171.0,126.0,107.14285714285714,136.85714285714286,54
276,63.27,10,23,2,2,54.0,83.0,107.14285714285714,118.71428571428571,83
277,25.72,10,24,2,3,83.0,143.0,112.0,125.21428571428571,177
109,93.65,0,24,2,3,177.0,83.0,109.42857142857143,117.71428571428571,65
455,76.27,15,24,2,3,65.0,129.0,97.0,102.42857142857143,42
345,42.8,10,24,2,3,42.0,87.0,88.14285714285714,104.21428571428571,25
213,94.58,0,24,2,3,25.0,171.0,85.85714285714286,101.64285714285714,155
399,10.85,20,25,2,4,155.0,54.0,108.71428571428571,107.92857142857143,214
230,13.56,10,25,2,4,214.0,83.0,112.85714285714286,110.0,112
469,42.01,10,25,2,4,112.0,177.0,104.57142857142857,108.28571428571429,119
415,38.42,5,25,2,4,119.0,65.0,113.71428571428571,111.57142857142857,129
405,81.23,5,25,2,4,129.0,42.0,138.71428571428572,117.85714285714286,217
167,52.53,10,26,2,5,217.0,25.0,150.28571428571428,119.21428571428571,106
102,59.84,5,26,2,5,106.0,155.0,135.0,110.42857142857143,48
251,75.25,20,26,2,5,48.0,214.0,111.57142857142857,110.14285714285714,50
451,41.2,0,26,2,5,50.0,112.0,105.14285714285714,109.0,67
305,48.35,5,26,2,5,67.0,119.0,107.0,105.78571428571429,132
129,34.84,10,27,2,6,132.0,129.0,98.28571428571429,106.0,68
93,18.52,10,27,2,6,68.0,217.0,74.57142857142857,106.64285714285714,51
193,40.3,20,27,2,6,51.0,106.0,78.85714285714286,114.57142857142857,136
372,52.03,5,27,2,6,136.0,48.0,94.14285714285714,114.57142857142857,155
315,81.94,10,27,2,6,155.0,50.0,109.57142857142857,110.57142857142857,158
361,89.39,10,28,2,0,158.0,67.0,149.14285714285714,127.14285714285714,344
87,52.02,15,28,2,0,344.0,132.0,134.0,120.5,26
151,66.59,10,28,2,0,26.0,68.0,134.85714285714286,116.57142857142857,74
129,40.0,10,28,2,0,74.0,51.0,142.0,108.28571428571429,101
189,35.6,15,28,2,0,101.0,136.0,143.42857142857142,111.14285714285714,146
263,15.95,5,1,3,1,146.0,155.0,125.28571428571429,109.71428571428571,28
176,82.04,5,1,3,1,28.0,158.0,119.0,114.28571428571429,114
408,33.36,15,1,3,1,114.0,344.0,70.42857142857143,109.78571428571429,4
222,86.75,20,1,3,1,4.0,26.0,98.0,116.0,219
263,44.78,15,1,3,1,219.0,74.0,102.42857142857143,118.64285714285714,105
216,58.52,15,2,3,2,105.0,101.0,101.28571428571429,121.64285714285714,93
294,17.16,10,2,3,2,93.0,146.0,110.42857142857143,126.92857142857143,210
156,50.63,20,2,3,2,210.0,28.0,121.71428571428571,123.5,107
97,35.6,20,2,3,2,107.0,114.0,113.85714285714286,116.42857142857143,59
225,73.98,20,2,3,2,59.0,4.0,141.57142857142858,106.0,198
304,14.01,0,3,3,3,198.0,219.0,115.42857142857143,106.71428571428571,36
164,55.29,0,3,3,3,36.0,105.0,109.0,105.71428571428571,60
303,32.26,20,3,3,3,60.0,93.0,114.57142857142857,107.92857142857143,132
272,19.05,5,3,3,3,132.0,210.0,109.28571428571429,109.85714285714286,173
286,49.83,20,3,3,3,173.0,107.0,111.71428571428571,116.71428571428571,124
338,33.06,15,4,3,4,124.0,59.0,143.85714285714286,128.85714285714286,284
260,24.19,20,4,3,4,284.0,198.0,131.28571428571428,136.42857142857142,110
469,36.67,20,4,3,4,110.0,36.0,126.42857142857143,120.92857142857143,2
137,71.07,10,4,3,4,2.0,60.0,136.57142857142858,122.78571428571429,131
493,20.58,15,4,3,4,131.0,132.0,184.57142857142858,149.57142857142858,468
496,27.67,10,5,3,5,468.0,173.0,200.14285714285714,154.71428571428572,282
397,23.06,5,5,3,5,282.0,124.0,230.28571428571428,171.0,335
248,91.23,20,5,3,5,335.0,284.0,198.85714285714286,171.35714285714286,64
486,18.28,15,5,3,5,64.0,110.0,243.57142857142858,187.42857142857142,423
466,80.22,5,5,3,5,423.0,2.0,301.2857142857143,213.85714285714286,406
463,62.37,10,6,3,6,406.0,131.0,310.0,223.28571428571428,192
180,84.23,10,6,3,6,192.0,468.0,246.14285714285714,215.35714285714286,21
222,32.23,20,6,3,6,21.0,282.0,219.57142857142858,209.85714285714286,96
404,93.61,10,6,3,6,96.0,335.0,217.42857142857142,223.85714285714286,320
55,88.09,10,6,3,6,320.0,64.0,210.14285714285714,204.5,13
380,98.99,5,7,3,0,13.0,423.0,199.42857142857142,221.5,348
261,32.09,0,7,3,0,348.0,406.0,148.71428571428572,225.0,51
330,50.38,0,7,3,0,51.0,192.0,151.28571428571428,230.64285714285714,210
485,34.69,15,7,3,0,210.0,21.0,172.71428571428572,209.42857142857142,171
354,38.2,10,7,3,0,171.0,96.0,196.28571428571428,207.92857142857142,261
394,95.9,20,8,3,1,261.0,320.0,155.14285714285714,186.28571428571428,32
341,16.52,15,8,3,1,32.0,13.0,170.57142857142858,190.35714285714286,121
162,10.19,20,8,3,1,121.0,348.0,122.71428571428571,161.07142857142858,13
319,11.47,5,8,3,1,13.0,51.0,128.14285714285714,138.42857142857142,89
327,94.5,5,8,3,1,89.0,210.0,143.57142857142858,147.42857142857142,318
339,24.92,15,9,3,2,318.0,171.0,122.85714285714286,147.78571428571428,26
114,21.09,10,9,3,2,26.0,261.0,95.71428571428571,146.0,71
180,62.16,10,9,3,2,71.0,32.0,96.28571428571429,125.71428571428571,36
256,91.75,10,9,3,2,36.0,121.0,112.85714285714286,141.71428571428572,237
314,57.1,0,9,3,2,237.0,13.0,123.85714285714286,123.28571428571429,90
285,24.69,10,10,3,3,90.0,89.0,132.14285714285714,130.14285714285714,147
288,46.07,5,10,3,3,147.0,318.0,104.28571428571429,123.92857142857143,123
214,36.77,15,10,3,3,123.0,26.0,119.0,120.92857142857143,129
162,95.25,0,10,3,3,129.0,71.0,115.0,105.35714285714286,43
296,25.05,20,10,3,3,43.0,36.0,131.42857142857142,113.85714285714286,151
348,46.7,10,11,3,4,151.0,237.0,117.71428571428571,115.28571428571429,141
368,26.72,20,11,3,4,141.0,90.0,109.0,116.42857142857143,29
417,37.23,0,11,3,4,29.0,147.0,147.42857142857142,139.78571428571428,416
339,76.54,20,11,3,4,416.0,123.0,146.42857142857142,125.35714285714286,116
258,77.74,0,11,3,4,116.0,129.0,129.28571428571428,124.14285714285714,9
210,91.91,5,12,3,5,9.0,43.0,150.85714285714286,132.92857142857142,194
307,53.95,5,12,3,5,194.0,151.0,142.57142857142858,137.0,93
443,31.22,5,12,3,5,93.0,141.0,158.0,137.85714285714286,249
425,78.18,15,12,3,5,249.0,29.0,200.85714285714286,154.92857142857142,329
173,16.1,0,12,3,5,329.0,416.0,165.71428571428572,156.57142857142858,170
327,87.0,15,13,3,6,170.0,116.0,162.71428571428572,154.57142857142858,95
344,91.09,20,13,3,6,95.0,9.0,182.42857142857142,155.85714285714286,147
402,47.85,15,13,3,6,147.0,194.0,160.0,155.42857142857142,37
85,30.04,10,13,3,6,37.0,93.0,158.71428571428572,150.64285714285714,84
169,36.05,15,13,3,6,84.0,249.0,136.42857142857142,147.21428571428572,93
84,59.11,10,14,3,0,93.0,329.0,100.0,150.42857142857142,74
236,17.5,20,14,3,0,74.0,170.0,76.42857142857143,121.07142857142857,5
222,78.38,10,14,3,0,5.0,95.0,85.85714285714286,124.28571428571429,161
168,17.96,15,14,3,0,161.0,147.0,77.14285714285714,129.78571428571428,86
237,22.86,20,14,3,0,86.0,37.0,103.0,131.5,218
172,69.17,20,15,3,1,218.0,84.0,102.14285714285714,130.42857142857142,78
287,26.53,0,15,3,1,78.0,93.0,103.57142857142857,120.0,103
70,45.33,10,15,3,1,103.0,74.0,102.57142857142857,101.28571428571429,67
390,27.53,15,15,3,1,67.0,5.0,128.85714285714286,102.64285714285714,189
143,54.27,5,15,3,1,189.0,161.0,112.57142857142857,99.21428571428571,47
